#State   EC-Votes    Biden%     Trump%   Winner
AZ         11         49.36      49.06    B 
FL         29         47.86      51.22    T
GA         16         49.47      49.24    B
IA          6         44.89      53.09    T
ME          2         53.09      44.02    B
ME-2        1         44.82      52.26    T
MI         16         50.62      47.84    B
MN         10         52.40      45.28    B
NE-2        1         51.95      45.45    B
NV          6         50.06      47.67    B  
NH          4         52.71      45.36    B
NC         15         48.59      49.93    T
OH         18         45.24      53.27    T
PA         20         50.01      48.84    B
TX         38         46.48      52.06    T
WI         10         49.45      48.82    B
BLUE      210        100.00       0.00    B
RED       125          0.00     100.00    T
